#Season   Jul   Aug   Sep   Oct   Nov   Dec   Jan   Feb   Mar   Apr   May   Jun   Tot
1916-17   0.0   0.0   0.0   0.0   0.7   9.5  13.1   8.9  12.9   9.1   0.0   0.0  54.2
1917-18   0.0   0.0   0.0   0.0   2.2   7.0  13.8   5.7  12.8   4.2   0.0   0.0  45.7
1918-19   0.0   0.0   0.0   0.0   0.0   8.4   4.1   6.2   2.4   0.0   0.0   0.0  21.1
1919-20   0.0   0.0   0.0   0.0   0.2   2.9  24.8  32.5  11.0   2.0   0.0   0.0  73.4
1920-21   0.0   0.0   0.0   0.0   1.8   5.5   3.6  23.2   0.0   0.0   0.0   0.0  34.1
1921-22   0.0   0.0   0.0   0.0   1.6   4.4   2.7  15.5  10.1   3.3   0.0   0.0  37.6
1922-23   0.0   0.0   0.0   0.0   0.9  14.7  28.0  14.3  10.6   0.0   0.0   0.0  68.5
1923-24   0.0   0.0   0.0   0.0   0.0   3.0   8.5  10.4   7.4   3.0   0.0   0.0  32.3
1924-25   0.0   0.0   0.0   0.0   0.5   0.2  20.7   0.0   0.0   0.0   0.0   0.0  21.4
1925-26   0.0   0.0   0.0   0.0   0.0   0.5   7.4  27.6   2.8   0.0   0.0   0.0  38.3
1926-27   0.0   0.0   0.0   0.0   0.0  24.2  16.1  19.2   0.6   0.2   0.0   0.0  60.3
1927-28   0.0   0.0   0.0   0.0   0.5   0.0   5.1   8.7   6.5   0.0   0.0   0.0  20.8
1928-29   0.0   0.0   0.0   0.0   1.4   4.6  13.5  21.4   4.0   0.6   0.0   0.0  45.5
1929-30   0.0   0.0   0.0   0.0   3.0  10.6   7.7   9.5   0.6   0.0   0.0   0.0  31.4
1930-31   0.0   0.0   0.0   0.0   0.1   7.7  11.7  14.0   7.3   0.0   0.0   0.0  40.8
1931-32   0.0   0.0   0.0   0.0   0.0   1.4   6.2  10.8   5.8   0.0   0.0   0.0  24.2
1932-33   0.0   0.0   0.0   0.0   0.0   8.6   1.3  20.6   5.1   5.0   0.0   0.0  40.6
1933-34   0.0   0.0   0.0   0.0   2.9  15.6   0.8  32.9  10.5   0.0   0.0   0.0  62.7
1934-35   0.0   0.0   0.0   0.0   0.0   1.6  26.7  13.1   2.1   1.9   0.0   0.0  45.4
1935-36   0.0   0.0   0.0   0.0   1.0   0.3  13.2  12.6   2.9   0.0   0.0   0.0  30.0
1936-37   0.0   0.0   0.0   0.0   4.4   0.7   2.0   0.0   1.9   0.0   0.0   0.0   9.0
1937-38   0.0   0.0   0.0   0.0   0.3   4.6  33.6  10.0   0.3   0.9   0.9   0.0  50.6
1938-39   0.0   0.0   0.0   0.0  10.0   1.4   7.5   4.7  16.5   0.2   0.0   0.0  40.3
1939-40   0.0   0.0   0.0   0.0   1.0   6.5   4.6  23.8   0.3   1.5   0.0   0.0  37.7
1940-41   0.0   0.0   0.0   0.0   8.5   4.5  20.4   1.3  13.1   0.0   0.0   0.0  47.8
1941-42   0.0   0.0   0.0   0.0   0.0   0.2   8.2   6.2   7.9   1.5   0.0   0.0  24.0
1942-43   0.0   0.0   0.0   0.0   0.0   6.8  26.4   4.5   8.0   0.0   0.0   0.0  45.7
1943-44   0.0   0.0   0.0   0.0   0.0   0.3   5.1   9.6  12.7   0.0   0.0   0.0  27.7
1944-45   0.0   0.0   0.0   0.0   1.2   6.9  24.3  26.3   0.5   0.0   0.0   0.0  59.2
1945-46   0.0   0.0   0.0   0.0   4.9  24.6   9.8   9.8   0.2   1.5   0.0   0.0  50.8
1946-47   0.0   0.0   0.0   0.0   0.0   4.9   4.0   9.0   0.9   0.6   0.0   0.0  19.4
1947-48   0.0   0.0   0.0   0.0   1.1  26.8  32.5  17.0  11.8   0.0   0.0   0.0  89.2
1948-49   0.0   0.0   0.0   0.0   1.1   5.5  13.7   6.9   9.9   0.0   0.0   0.0  37.1
1949-50   0.0   0.0   0.0   0.0   1.4   2.4   7.9  15.2   5.1   0.0   0.0   0.0  32.0
1950-51   0.0   0.0   0.0   0.0   0.0   2.7  13.9   9.2   3.9   0.0   0.0   0.0  29.7
1951-52   0.0   0.0   0.0   0.0   0.0   8.4  10.7  19.1   1.4   0.0   0.0   0.0  39.6
1952-53   0.0   0.0   0.0   0.0   0.0   2.4  13.6  11.4   0.2   2.2   0.0   0.0  29.8
1953-54   0.0   0.0   0.0   0.0   0.0   0.0  19.2   1.9   0.4   2.1   0.0   0.0  23.6
1954-55   0.0   0.0   0.0   0.0   0.0  10.3   0.9   6.5   7.0   0.4   0.0   0.0  25.1
1955-56   0.0   0.0   0.0   0.0   2.5   1.8   7.7  14.5  31.2   3.2   0.0   0.0  60.9
1956-57   0.0   0.0   0.0   0.0   0.6  15.4  20.6   2.8  11.5   1.1   0.0   0.0  52.0
1957-58   0.0   0.0   0.0   0.0   0.1   0.0   6.6  23.9  12.0   2.1   0.0   0.0  44.7
1958-59   0.0   0.0   0.0   0.0   0.1   4.6   4.1  10.7  14.6   0.0   0.0   0.0  34.1
1959-60   0.0   0.0   0.0   0.0   0.6   5.5  10.2   2.3  22.3   0.0   0.0   0.0  40.9
1960-61   0.0   0.0   0.0   0.0   0.0  16.9  18.7  14.9   9.0   2.0   0.0   0.0  61.5
1961-62   0.0   0.0   0.0   0.0   0.9  11.4   2.5  28.7   1.1   0.1   0.0   0.0  44.7
1962-63   0.0   0.0   0.0   0.0   0.9   5.3   6.5   4.6  13.6   0.0   0.0   0.0  30.9
1963-64   0.0   0.0   0.0   0.0   0.0  17.7  14.4  23.2   7.7   0.0   0.0   0.0  63.0
1964-65   0.0   0.0   0.0   0.0   0.0  12.2  22.2   4.7   9.7   1.6   0.0   0.0  50.4
1965-66   0.0   0.0   0.0   0.0   0.0   2.3  26.4  12.1   3.3   0.0   0.0   0.0  44.1
1966-67   0.0   0.0   0.0   0.0   0.0   9.9   0.5  23.5  22.9   3.3   0.0   0.0  60.1
1967-68   0.0   0.0   0.0   0.0   2.2  14.7  17.7   3.4   6.8   0.0   0.0   0.0  44.8
1968-69   0.0   0.0   0.0   0.0   0.4   5.1   0.9  41.3   6.1   0.0   0.0   0.0  53.8
1969-70   0.0   0.0   0.0   0.0   0.0  12.6   7.4  10.5  18.2   0.1   0.0   0.0  48.8
1970-71   0.0   0.0   0.0   0.0   0.0  27.9  12.0   8.1   7.4   1.9   0.0   0.0  57.3
1971-72   0.0   0.0   0.0   0.0   2.8   7.9   7.8  16.5  12.1   0.4   0.0   0.0  47.5
1972-73   0.0   0.0   0.0   0.0   0.6   3.3   3.6   2.5   0.3   0.0   0.0   0.0  10.3
1973-74   0.0   0.0   0.0   0.0   0.0   0.0  16.0  17.8   0.1   3.0   0.0   0.0  36.9
1974-75   0.0   0.0   0.0   0.0   2.0   3.6   2.2  17.0   1.8   1.0   0.0   0.0  27.6
1975-76   0.0   0.0   0.0   0.0   0.1  19.3  15.0   1.4  10.8   0.0   0.0   0.0  46.6
1976-77   0.0   0.0   0.0   0.0   1.0  17.2  23.2   5.9  10.7   0.0   0.5   0.0  58.5
1977-78   0.0   0.0   0.0   0.0   0.7   5.2  35.9  27.2  16.1   0.0   0.0   0.0  85.1
1978-79   0.0   0.0   0.0   0.0   4.2   5.8  10.5   6.6   0.0   0.4   0.0   0.0  27.5
1979-80   0.0   0.0   0.0   0.2   0.0   2.0   0.4   6.5   3.6   0.0   0.0   0.0  12.7
1980-81   0.0   0.0   0.0   0.0   2.4   5.6  11.9   1.9   0.5   0.0   0.0   0.0  22.3
1981-82   0.0   0.0   0.0   0.0   0.0  17.6  18.0   7.6   5.3  13.3   0.0   0.0  61.8
1982-83   0.0   0.0   0.0   0.0   0.0   5.5   4.7  22.3   0.2   0.0   0.0   0.0  32.7
1983-84   0.0   0.0   0.0   0.0   0.0   2.6  21.1   0.3  19.0   0.0   0.0   0.0  43.0
1984-85   0.0   0.0   0.0   0.0   0.0   3.7   7.0  10.2   3.7   2.0   0.0   0.0  26.6
1985-86   0.0   0.0   0.0   0.0   3.0   1.3   0.8  10.4   2.6   0.0   0.0   0.0  18.1
1986-87   0.0   0.0   0.0   0.0   3.5   3.4  24.3   3.7   3.5   4.1   0.0   0.0  42.5
1987-88   0.0   0.0   0.0   0.0   9.0   7.5  17.0  14.1   5.0   0.0   0.0   0.0  52.6
1988-89   0.0   0.0   0.0   0.0   0.0   3.7   1.5   6.7   3.2   0.4   0.0   0.0  15.5
1989-90   0.0   0.0   0.0   0.0   4.5   6.2   7.0  16.9   4.1   0.5   0.0   0.0  39.2
1990-91   0.0   0.0   0.0   0.0   0.0   1.2  11.7   2.8   3.4   0.0   0.0   0.0  19.1
1991-92   0.0   0.0   0.0   0.0   0.0   5.8   0.4   4.0  10.8   1.0   0.0   0.0  22.0
1992-93   0.0   0.0   0.0   0.0   0.6   9.7  12.9  19.6  38.9   2.2   0.0   0.0  83.9
1993-94   0.0   0.0   0.0   0.0   0.0  11.6  33.7  36.2  14.8   0.0   0.0   0.0  96.3
1994-95   0.0   0.0   0.0   0.0   0.1   1.5   4.4   8.5   0.4   0.0   0.0   0.0  14.9
1995-96   0.0   0.0   0.0   0.0   4.1  24.1  39.8  15.5  16.8   7.3   0.0   0.0 107.6
1996-97   0.0   0.0   0.0   0.0   1.8   5.0   9.7   4.8   8.2  22.4   0.0   0.0  51.9
1997-98   0.0   0.0   0.0   0.0   3.9   7.8  10.0   0.3   3.6   0.0   0.0   0.0  25.6
1998-99   0.0   0.0   0.0   0.0   0.0   0.8  16.8   7.4  11.4   0.0   0.0   0.0  36.4
1999-00   0.0   0.0   0.0   0.0   0.0   0.0  13.7   9.2   2.0   0.0   0.0   0.0  24.9
2000-01   0.0   0.0   0.0   0.0   0.0   4.5  12.4   9.8  19.2   0.0   0.0   0.0  45.9
2001-02   0.0   0.0   0.0   0.0   0.0   5.0   7.9   0.5   1.4   0.3   0.0   0.0  15.1
2002-03   0.0   0.0   0.0   0.0   3.6   9.6   4.2  39.9   8.1   2.3   0.0   0.0  67.7
2003-04   0.0   0.0   0.0   0.0   0.0  17.2   4.9   2.4  10.6   0.0   0.0   0.0  35.1
2004-05   0.0   0.0   0.0   0.0   3.9   7.2  43.3  17.7  14.5   0.0   0.0   0.0  86.6
2005-06   0.0   0.0   0.0   1.1   0.0  10.7   8.1  20.0   0.0   0.0   0.0   0.0  39.9
2006-07   0.0   0.0   0.0   0.0   0.0   0.8   1.0   4.6  10.2   0.5   0.0   0.0  17.1
2007-08   0.0   0.0   0.0   0.0   0.0  26.9   8.3  15.0   1.0   0.0   0.0   0.0  51.2
2008-09   0.0   0.0   0.0   0.0   0.0  25.3  23.7   6.2  10.7   0.0   0.0   0.0  65.9
2009-10   0.0   0.0   0.0   0.1   0.0  15.2  13.2   7.0   0.2   0.0   0.0   0.0  35.7
2010-11   0.0   0.0   0.0   0.0   0.0  22.0  38.3  18.5   1.3   0.9   0.0   0.0  81.0
2011-12   0.0   0.0   0.0   1.0   0.0   0.0   6.8   0.9   0.6   0.0   0.0   0.0   9.3
